color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,type_bitmap,type_triangle,type_slice,type_group,type_polygon,type_star,Cluster
0.18039216,0.8352941,0.4509804,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.11764706,0.5647059,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.18039216,0.8352941,0.4509804,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.18039216,0.8352941,0.4509804,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.11764706,0.5647059,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.18039216,0.8352941,0.4509804,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.0,0.63529414,0.6745098,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.0,0.63529414,0.6745098,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,-1
0.23529412,0.5058824,0.9647059,0.8,1,0,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,0.101960786,0,1,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,-1
0.23529412,0.5058824,0.9647059,0.8,1,0,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,0.101960786,0,1,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,-1
0.23529412,0.5058824,0.9647059,0.8,1,0,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,0.101960786,0,1,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.34901962,0.78431374,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
0.44313726,0.79607844,0.6431373,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
0.6431373,0.6431373,0.6431373,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.8156863,0.007843138,0.105882354,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
1.0,0.011764706,0.011764706,0.078431375,0,0,0,0,0,1,0,0,0,0,0,-1
1.0,0.011764706,0.011764706,0.078431375,0,0,0,0,0,1,0,0,0,0,0,-1
1.0,0.011764706,0.011764706,0.078431375,0,0,0,0,0,1,0,0,0,0,0,-1
0.34117648,0.18431373,0.11372549,0.6117647,0,0,0,0,0,1,0,0,0,0,0,-1
0.27058825,0.1254902,0.043137256,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.43529412,0.19607843,0.101960786,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.5019608,0.7137255,0.95686275,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.5019608,0.7137255,0.95686275,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.80784315,0.44313726,0.88235295,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.80784315,0.44313726,0.88235295,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.80784315,0.44313726,0.88235295,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
0.33333334,0.61960787,0.8745098,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1
0.12941177,0.12941177,0.12941177,0.5529412,0,1,0,0,0,0,0,0,0,0,0,-1
0.0,0.47843137,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.0,0.47843137,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.0,0.0,0.0,0.5294118,0,1,0,0,0,0,0,0,0,0,0,-1
0.0,0.0,0.0,0.5294118,0,1,0,0,0,0,0,0,0,0,0,-1
0.29803923,0.8509804,0.39215687,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
0.53333336,0.53333336,0.5411765,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.53333336,0.53333336,0.5411765,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.29803923,0.8509804,0.39215687,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
0.9411765,0.6,0.21568628,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
0.93333334,0.8,0.5647059,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.87058824,0.74509805,0.41568628,1.0,0,0,1,0,0,0,0,0,0,0,0,-1
0.0,0.6666667,0.93333334,0.0,0,1,0,0,0,0,0,0,0,0,0,-1
0.17254902,0.16078432,0.22352941,0.5019608,0,1,0,0,0,0,0,0,0,0,0,-1
0.17254902,0.16078432,0.22352941,0.8,1,0,0,0,0,0,0,0,0,0,0,-1
0.84705883,0.84705883,0.84705883,0.6901961,0,1,0,0,0,0,0,0,0,0,0,-1
1.0,0.27450982,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
1.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.84705883,0.84705883,0.84705883,0.6901961,0,1,0,0,0,0,0,0,0,0,0,-1
1.0,0.27450982,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
